Id ,Year,Car_Name,Price,Location,Fuel_Type,Gear_Type
0,2013,Hyundai Elite i20 Sportz 1.2,"3,59,000",Mumbai,Petrol,Manual
1,2019,Hyundai Venue SX Plus 1.0 Turbo DCT,"7,80,000",Mumbai,Petrol,Automatic
2,2014,Honda City SV i-VTEC,"5,00,000",Mangaluru,Petrol,Manual
3,2016,Honda BR-V V CVT Petrol,"6,50,000",Mangaluru,Petrol,Automatic
4,2018,Honda Amaze 1.2 V i-VTEC,"5,50,000",Mangaluru,Petrol,Manual
5,2017,Honda Jazz 1.2 V i-VTEC,"5,50,000",Mangaluru,Petrol,Manual
6,2019,Honda Jazz VX i-VTEC,"4,50,000",New Delhi,Petrol,Manual
7,2016,Maruti Suzuki Ciaz VXi+ AT,"4,35,000",Mumbai,Petrol,Automatic
8,2023,Honda Elevate ZX CVT,"16,50,000",Kannur,Petrol,Automatic
9,2016,Honda City VX CVT i-VTEC,"5,75,000",Bhubaneswar,Petrol,Automatic
10,2021,Honda Civic V CVT i-VTEC BS6,"12,92,767",Delhi,Petrol,Automatic
11,2016,Honda Amaze 1.2 S i-VTEC,"3,75,000",Delhi,Petrol,Manual
12,2017,Honda Amaze 1.2 E i-VTEC Opt,"3,49,999",Delhi,Petrol,Manual
13,2017,Maruti Suzuki Swift DZire VDi,"2,95,000",Ghaziabad,Diesel,Manual
14,2017,Maruti Suzuki Vitara Brezza ZDi Plus,"6,64,336",Delhi,Diesel,Manual
15,2013,Maruti Suzuki ALTO 800 LXi,"1,50,000",Faridabad,Petrol,Manual
16,2021,Tata Harrier XT Dark Edition BS6,"14,93,500",Delhi,Diesel,Manual
17,2022,Hyundai Creta SX 1.5 Petrol,"13,30,000",Faridabad,Petrol,Manual
18,2011,Hyundai Santro Xing GLS LPG,"2,45,000",Pondicherry,Petrol + Lpg,Manual
19,2017,Tata Tiago Revotron XZ,"3,20,000",Ghaziabad,Petrol,Manual
20,2016,Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,"3,65,000",Thrissur,Petrol,Automatic
21,2022,Hyundai Alcazar Prestige Executive 7 STR 1.5 Diesel,"15,25,000",Mumbai,Diesel,Manual
22,2016,Hyundai Creta 1.6 SX Opt Petrol,"6,80,000",Mumbai,Petrol,Manual
23,2000,Maruti Suzuki Wagon R VX,"1,00,000",Vadodara,Petrol,Manual
24,2015,Honda Amaze 1.5 S i-DTEC,"3,85,000",Kottayam,Diesel,Manual
25,2020,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT CNG BS6,"5,50,000",Ahmedabad,Petrol + Cng,Manual
26,2016,Honda City VX CVT i-VTEC,"5,00,000",Noida,Petrol,Automatic
27,2016,Honda City VX CVT i-VTEC,"6,05,000",Noida,Petrol,Automatic
28,2011,Nissan Micra XV PETROL,"1,75,000",Jaipur,Petrol,Manual
29,2017,Hyundai Grand i10 Asta AT,"3,99,999",Faridabad,Petrol,Automatic
30,2016,Maruti Suzuki Celerio ZXi AMT,"3,20,000",Faridabad,Petrol,Automated Manual Transmission
31,2021,Kia Seltos GTX Plus 1.4 Petrol,"13,25,000",Faridabad,Petrol,Manual
32,2013,Maruti Suzuki Ritz LXi,"3,00,000",Faridabad,Petrol,Manual
33,2022,Maruti Suzuki Baleno Delta 1.2 AT,"5,85,000",Faridabad,Petrol,Automatic
